Ramaria largentii,Comestible,No tóxico
Ramaria maculospora,Comestible,No tóxico
Ramaria pallida,Comestible,No tóxico
Ramaria persicina,Comestible,No tóxico
Ramaria purpurissima var. purpurissima,Comestible,No tóxico
Ramaria purpurissima,Comestible,No tóxico
Ramaria rasilispora,Comestible,No tóxico
Ramaria rasilispora var. scatesiana,Comestible,No tóxico
Ramaria rubiginosa,Comestible,No tóxico
Ramaria rubricarnata,Comestible,No tóxico
Ramaria rubricarnata var. verna,Comestible,No tóxico
Ramaria rubrievanescens,Comestible,No tóxico
Ramaria rubripermanens,Comestible,No tóxico
Ramaria sanguinea,Comestible,No tóxico
Ramaria stricta,Comestible,No tóxico
Ramaria stricta var. concolor,Comestible,No tóxico
Ramaria subbotrytis,Comestible,No tóxico
Ramaria suecica,Comestible,No tóxico
Ramaria testaceoflava,Comestible,No tóxico
Ramaria vinosimaculans,Comestible,No tóxico
Ramaria xanthosperma,Comestible,No tóxico
Retiboletus griseus,Comestible,No tóxico
Reticularia lycoperdon,Comestible,No tóxico
Rhizopogon michoacanicus,Comestible,No tóxico
Rubroboletus dupainii,Comestible,No tóxico
Rubroboletus legaliae,No comestible,Tóxico
Russula adusta,Comestible,No tóxico
Russula aff. anthracina,Comestible,No tóxico
Russula anthracina,Comestible,No tóxico
Russula aff. macropoda,Comestible,No tóxico
Russula macropoda,Comestible,No tóxico
Russula alutacea,Comestible,No tóxico
Russula brevipes,Comestible,No tóxico
Russula cyanoxantha,Comestible,No tóxico
Russula delica,Comestible,No tóxico
Russula delica var. centroamericana,Comestible,No tóxico
Russula emetica,Comestible,Tóxico
Russula foetens ,No comestible,Tóxico
Russula herrerae,Comestible,No tóxico
Russula mariae,Comestible,No tóxico
Russula mexicana,Comestible,No tóxico
Russula nobilis,No comestible,Tóxico
Russula olivacea,Comestible,No tóxico
Russula pectinatoides,Comestible,No tóxico
Russula persicina,Comestible,No tóxico
Russula queletii,Comestible,No tóxico
Russula risigallina,Comestible,No tóxico
Russula romagnesiana,Comestible,No tóxico
Russula rosea,Comestible,No tóxico
Russula sanguinaria,Comestible,No tóxico
Russula virescens,Comestible,No tóxico
Russula xerampelina,Comestible,No tóxico
Sarcodon imbricatus,Comestible,No tóxico
Sarcosphaera coronaria,Comestible,No tóxico
Schizophyllum comune,Comestible,No tóxico
Schizophyllum fasciatum,Comestible,No tóxico
Schizophyllum radiatum,Comestible,No tóxico
Scleroderma albidum,No comestible,Tóxico
Scleroderma areolatum ,No comestible,Tóxico
Scleroderma cepa,No comestible,Tóxico
Scleroderma citrinum,No comestible,Tóxico
Scleroderma laeve,Comestible,No tóxico
Scleroderma semiglobata,No comestible,Tóxico
Scleroderma texense,No comestible,Tóxico
Scleroderma verrucosum,No comestible,Tóxico
Scutiger pes-caprae,Comestible,No tóxico
Sebacina epigaea,Comestible,No tóxico
Sparassis crispa,Comestible,No tóxico
Stereum ostrea,No comestible,Tóxico
Strobilomyces confusus,Comestible,No tóxico
Strobilomyces strobilaceus,Comestible,No tóxico
Stropharia coronilla,Comestible,No tóxico
Suillellus luridus,No comestible,Tóxico
Suillus americanus,Comestible,No tóxico
Suillus brevipes,Comestible,No tóxico
Suillus cothurnatus,Comestible,No tóxico
Suillus decipiens,Comestible,No tóxico
Suillus flavogranulatus,Comestible,No tóxico
Suillus glandulosipes,Comestible,No tóxico
Suillus granulatus,Comestible,No tóxico
Suillus granulatus subsp.,Comestible,No tóxico
Suillus guzmanii,Comestible,No tóxico
Suillus lakei,Comestible,No tóxico
Suillus luteus,Comestible,No tóxico
Suillus placidus,Comestible,No tóxico
Suillus pseudobrevipes,Comestible,No tóxico
Suillus punctipes,Comestible,No tóxico
Suillus pungens,Comestible,No tóxico
Suillus spraguei,Comestible,No tóxico
Suillus tomentosus,Comestible,Tóxico
Suillus tomentosus var. discolor,Comestible,No tóxico
Tephrocybe atrata,Comestible,No tóxico
Tremella foliacea,Comestible,No tóxico
Tremellodendron schweinitzii,Comestible,No tóxico
Tricholoma caligatum,Comestible,No tóxico
Tricholoma equestre,Comestible,Tóxico
Tricholoma luridum,Comestible,No tóxico
Tricholoma mesoamericanum,Comestible,No tóxico
Tricholoma populinum,Comestible,No tóxico
Tricholoma saponaceum,No comestible,Tóxico
Tricholoma saponaceum var. saponaceum,Comestible,No tóxico
Tricholoma sejunctum,Comestible,No tóxico
Tricholoma terreum,Comestible,No tóxico
Tricholoma ustale,Comestible,No tóxico
Tricholoma ustaloides,Comestible,No tóxico
Tricholoma vaccinum,Comestible,No tóxico
Tricholoma virgatum,No comestible,Tóxico
Tricholosporum goniospermum,Comestible,No tóxico
Turbinellus floccosus,Comestible,No tóxico
Tylopilus balloui,Comestible,No tóxico
Tylopilus felleus,Comestible,No tóxico
Tylopilus indecisus,Comestible,No tóxico
Ustilago maydis,Comestible,No tóxico
Vascellum intermedium,Comestible,No tóxico
Verpa bohemica,No comestible,Tóxico
Volvariella bombycina,Comestible,No tóxico
Volvariella volvacea,Comestible,No tóxico
Xanthoconium separans,Comestible,No tóxico
Xerocomus illudens,Comestible,No tóxico
Xerocomus spadiceus,Comestible,No tóxico
Xerula radicata,Comestible,No tóxico
